Title,Country,Operation Date,Max Storage
"Abu Dhabi CCS Phase 2:  
Natural gas processing plant","United Arab 
Emirates",2025,2.3
"One Earth Energy Facility  
Carbon Capture",United States,2026,0.5
Project Tundra,United States,2027,3.6
"OXY and Carbon Engineering  
Direct Air Capture and EOR Facility",United States,2020,1
"Mustang Station of Golden Spread 
Electric Cooperative Carbon Capture",United States,2020,1.5
Plant Daniel Carbon Capture,United States,2020,1.8
"Gerald Gentleman  
Station Carbon Capture",United States,2020,4.3
"Prairie State Generating  
Station Carbon Capture",United States,2020,6
Cal Capture,United States,2020,1.4
"Midwest AgEnergy  
Blue Flint ethanol CCS",United States,2022,0.18
"Velocys’ Bayou Fuels  
Negative Emission Project",United States,2025,0.5
"Project Pouakai Hydrogen  
Production with CCS",New Zealand,2024,1
Red Trail Energy BECCS Project,United States,2025,0.18
"Clean Energy Systems Carbon  
Negative Energy Plant - Central Valley",United States,2025,0.32
Preem Refinery CCS,Sweden,2025,0.5
"HyNet North West -  Hanson  
Cement CCS",United Kingdom,2026,0.8
"Repsol Sakakemang  
Carbon Capture and Injection",Indonesia,2026,2
G2 Net-Zero LNG,United States,2027,4
Net Zero Teesside - BP H2Teesside,United Kingdom,2027,2
"ZERO Carbon Humber -  
Keady 3 CCS Power Station",United Kingdom,2027,2.6
Korea-CCS 1 & 2,South Korea,2020,1
Sinopec Shengli Power Plant CCS,China,2020,1
Dave Johnston Plant Carbon Capture,United States,2020,6
NextDecade Rio Grande LNG CCS,United States,2020,5
Caledonia Clean Energy,United Kingdom,2024,3
Hydrogen 2 Magnum (H2M),Netherlands,2024,2
"Dry Fork Integrated Commercial  
Carbon Capture and Storage (CCS)",United States,2025,3
Net Zero Teesside - CCGT Facility,United Kingdom,2025,6
The Illinois Clean Fuels Project,United States,2026,1.5
"Northern Gas Network  
H21 North of England",United Kingdom,2026,1.5
Hydrogen to Humber Saltend,United Kingdom,2027,1.2
Drax BECCS Project,United Kingdom,2027,4.3
Ervia Cork CCS,Ireland,2028,2.5
Nauticol Energy Blue Methanol,Canada,2020,1
"PAU Central Sulawesi Clean Fuel 
Ammonia Production with CCUS",Indonesia,2020,2
Saskatchewan NET Power Plant,Canada,2020,0.95
Acorn CCS,United Kingdom,2020,0.34
HyNet North West,United Kingdom,2020,1.5
"LafargeHolcim Cement  
Carbon capture",United States,2020,2
Barents Blue Clean Ammonia with CCS,Norway,2025,2
Polaris CCS Project,Canada,2020,0.75
"Caroline Carbon Capture  
Power Complex",Canada,2020,3
Acorn Direct Air Capture Facility,United Kingdom,2026,1
